plating_rowdata_index,plating_line_index,plating_line_element_index,plating_rowdata_date,plating_output_v,plating_output_a,plating_input_v,plating_input_a,plating_internal_temperature,plating_external_temperature,plating_external_humidity
141,1,1,"2021-07-14 11:54:15",3.6,4.5,0,0,0,0,0
142,1,1,"2021-07-14 11:54:16",3.6,4.5,0,0,0,0,0
143,1,1,"2021-07-14 11:54:16",3.6,4.5,0,0,0,0,0
144,1,1,"2021-07-14 11:54:16",3.6,4.5,0,0,0,0,0
145,1,1,"2021-07-14 11:54:17",3.6,4.5,0,0,0,0,0
146,1,1,"2021-07-14 11:54:17",3.6,4.5,0,0,0,0,0
147,1,1,"2021-07-14 11:54:18",3.6,4.5,0,0,0,0,0
148,1,1,"2021-07-14 11:54:18",3.6,4.5,0,0,0,0,0
149,1,1,"2021-07-14 11:54:18",3.6,4.5,0,0,0,0,0
150,1,1,"2021-07-14 11:54:19",3.6,4.5,0,0,0,0,0
151,1,1,"2021-07-14 11:54:19",3.6,4.5,0,0,0,0,0
152,1,1,"2021-07-14 11:54:20",3.6,4.5,0,0,0,0,0
153,1,1,"2021-07-14 11:54:20",3.6,4.5,0,0,0,0,0
154,1,1,"2021-07-14 11:54:20",3.6,4.5,0,0,0,0,0
155,1,1,"2021-07-14 11:54:21",3.6,4.5,0,0,0,0,0
156,1,1,"2021-07-14 11:54:21",3.6,4.5,0,0,0,0,0
157,1,1,"2021-07-14 11:54:22",3.6,4.5,0,0,0,0,0
158,1,1,"2021-07-14 11:54:22",3.6,4.5,0,0,0,0,0
159,1,1,"2021-07-14 11:54:22",3.6,4.5,0,0,0,0,0
160,1,1,"2021-07-14 11:54:59",3.6,4.5,0,0,0,0,0
161,1,1,"2021-07-14 11:54:59",3.6,4.5,0,0,0,0,0
162,1,1,"2021-07-14 11:55:00",3.6,4.5,0,0,0,0,0
163,1,1,"2021-07-14 11:55:00",3.6,4.5,0,0,0,0,0
164,1,1,"2021-07-14 11:55:00",3.6,4.5,0,0,0,0,0
165,1,1,"2021-07-14 11:55:01",3.6,4.5,0,0,0,0,0
166,1,1,"2021-07-14 11:55:01",3.5,4.5,0,0,0,0,0
167,1,1,"2021-07-14 11:55:02",3.5,4.5,0,0,0,0,0
168,1,1,"2021-07-14 11:55:02",3.5,4.5,0,0,0,0,0
169,1,1,"2021-07-14 11:55:02",3.6,4.5,0,0,0,0,0
170,1,1,"2021-07-14 11:55:03",3.6,4.5,0,0,0,0,0
171,1,1,"2021-07-14 11:55:03",3.6,4.5,0,0,0,0,0
172,1,1,"2021-07-14 11:55:04",3.6,4.5,0,0,0,0,0
173,1,1,"2021-07-14 11:55:04",3.6,4.5,0,0,0,0,0
174,1,1,"2021-07-14 11:55:04",3.6,4.5,0,0,0,0,0
175,1,1,"2021-07-14 11:55:05",3.6,4.5,0,0,0,0,0
176,1,1,"2021-07-14 11:55:05",3.6,4.5,0,0,0,0,0
177,1,1,"2021-07-14 11:55:06",3.5,4.5,0,0,0,0,0
178,1,1,"2021-07-14 11:55:06",3.5,4.5,0,0,0,0,0
179,1,1,"2021-07-14 11:55:06",3.5,4.5,0,0,0,0,0
180,1,1,"2021-07-14 11:55:07",3.5,4.5,0,0,0,0,0
181,1,1,"2021-07-14 11:55:07",3.5,4.5,0,0,0,0,0
182,1,1,"2021-07-14 11:55:08",3.6,4.5,0,0,0,0,0
183,1,1,"2021-07-14 11:55:08",3.6,4.5,0,0,0,0,0
184,1,1,"2021-07-14 11:55:08",3.6,4.5,0,0,0,0,0
185,1,1,"2021-07-14 11:55:09",3.6,4.5,0,0,0,0,0
186,1,1,"2021-07-14 11:55:09",3.6,4.5,0,0,0,0,0
187,1,1,"2021-07-14 11:55:10",3.6,4.5,0,0,0,0,0
188,1,1,"2021-07-14 11:55:10",3.6,4.5,0,0,0,0,0
189,1,1,"2021-07-14 11:55:10",3.6,4.5,0,0,0,0,0
190,1,1,"2021-07-14 11:55:11",3.6,4.5,0,0,0,0,0
191,1,1,"2021-07-14 11:55:11",3.6,4.5,0,0,0,0,0
192,1,1,"2021-07-14 11:55:12",3.6,4.5,0,0,0,0,0
193,1,1,"2021-07-14 11:55:12",3.6,4.5,0,0,0,0,0
194,1,1,"2021-07-14 11:55:12",3.6,4.5,0,0,0,0,0
195,1,1,"2021-07-14 11:55:13",3.6,4.5,0,0,0,0,0
196,1,1,"2021-07-14 11:55:13",3.6,4.5,0,0,0,0,0
197,1,1,"2021-07-14 11:55:14",3.6,4.5,0,0,0,0,0
198,1,1,"2021-07-14 11:55:14",3.6,4.5,0,0,0,0,0
199,1,1,"2021-07-14 11:55:14",3.6,4.5,0,0,0,0,0
200,1,1,"2021-07-14 11:55:15",3.6,4.5,0,0,0,0,0
201,1,1,"2021-07-14 11:55:15",3.6,4.5,0,0,0,0,0
202,1,1,"2021-07-14 11:55:16",3.6,4.5,0,0,0,0,0
203,1,1,"2021-07-14 11:55:16",3.6,4.5,0,0,0,0,0
204,1,1,"2021-07-14 11:55:16",3.6,4.5,0,0,0,0,0
205,1,1,"2021-07-14 11:55:17",3.6,4.5,0,0,0,0,0
206,1,1,"2021-07-14 11:55:17",3.6,4.5,0,0,0,0,0
207,1,1,"2021-07-14 11:55:18",3.6,4.5,0,0,0,0,0
208,1,1,"2021-07-14 11:55:18",3.6,4.5,0,0,0,0,0
209,1,1,"2021-07-14 11:55:18",3.6,4.5,0,0,0,0,0
210,1,1,"2021-07-14 11:55:19",3.6,4.5,0,0,0,0,0
211,1,1,"2021-07-14 11:55:19",3.6,4.5,0,0,0,0,0
212,1,1,"2021-07-14 11:55:20",3.6,4.5,0,0,0,0,0
213,1,1,"2021-07-14 11:55:20",3.6,4.5,0,0,0,0,0
214,1,1,"2021-07-14 11:55:20",3.6,4.5,0,0,0,0,0
215,1,1,"2021-07-14 11:55:21",3.6,4.5,0,0,0,0,0
216,1,1,"2021-07-14 11:55:21",3.6,4.5,0,0,0,0,0
217,1,1,"2021-07-14 11:55:22",3.6,4.5,0,0,0,0,0
218,1,1,"2021-07-14 11:55:22",3.6,4.5,0,0,0,0,0
219,1,1,"2021-07-14 11:55:22",3.6,4.5,0,0,0,0,0
220,1,1,"2021-07-14 11:55:23",3.6,4.5,0,0,0,0,0
221,1,1,"2021-07-14 11:55:23",3.6,4.5,0,0,0,0,0
222,1,1,"2021-07-14 11:55:24",3.6,4.5,0,0,0,0,0
223,1,1,"2021-07-14 11:55:24",3.6,4.5,0,0,0,0,0
224,1,1,"2021-07-14 11:55:24",3.6,4.5,0,0,0,0,0
225,1,1,"2021-07-14 11:55:25",3.6,4.5,0,0,0,0,0
226,1,1,"2021-07-14 11:55:25",3.6,4.5,0,0,0,0,0
227,1,1,"2021-07-14 11:55:26",3.6,4.5,0,0,0,0,0
228,1,1,"2021-07-14 11:55:26",3.6,4.5,0,0,0,0,0
229,1,1,"2021-07-14 11:55:26",3.6,4.5,0,0,0,0,0
230,1,1,"2021-07-14 11:55:27",3.6,4.5,0,0,0,0,0
